Highest Perceptron accuracy so far: 0.06844741235392321, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06900389538119088, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06956037840845854, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07011686143572621, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07067334446299388, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07122982749026155, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07178631051752922, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07234279354479689, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07289927657206455, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07345575959933222, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07401224262659989, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07456872565386756, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07512520868113523, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07568169170840289, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07623817473567056, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07679465776293823, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0773511407902059, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07790762381747357, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07846410684474124, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0790205898720089, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.07957707289927657, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08013355592654424, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08069003895381191, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08124652198107958, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08180300500834725, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08235948803561491, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08291597106288258, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08347245409015025, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08402893711741792, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08458542014468559, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08514190317195326, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08569838619922092, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08625486922648859, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08681135225375626, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08736783528102393, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0879243183082916, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08848080133555926, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.08903728436282693, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0895937673900946, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09015025041736227, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09070673344462994, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09126321647189761, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09181969949916527, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09237618252643294, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09293266555370061, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09348914858096828, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09404563160823595, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09460211463550362, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09515859766277128, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09571508069003895, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09627156371730662, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09682804674457429, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09738452977184196, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09794101279910963, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09849749582637729, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09905397885364496, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.09961046188091263, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1001669449081803, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10072342793544797, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10127991096271564, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1018363939899833, Parameters: learning rate=0.0001, shuffle=True
